Type,location,id,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--retirement_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,BR_AC,BR_AC_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_AC,co2_storage_Parecis
CO2Injection,BR_AL,BR_AL_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_AL,co2_storage_Sergipe_Alagoas
CO2Injection,BR_AM,BR_AM_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_AM,co2_storage_Parecis
CO2Injection,BR_AP,BR_AP_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_AP,co2_storage_Parecis
CO2Injection,BR_BA,BR_BA_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_BA,co2_storage_Reconcavo
CO2Injection,BR_CE,BR_CE_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_CE,co2_storage_Ceara
CO2Injection,BR_DF,BR_DF_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_DF,co2_storage_Parana
CO2Injection,BR_ES,BR_ES_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_ES,co2_storage_Espirito_Santo
CO2Injection,BR_GO,BR_GO_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_GO,co2_storage_Parana
CO2Injection,BR_MA,BR_MA_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_MA,co2_storage_Ceara
CO2Injection,BR_MG,BR_MG_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_MG,co2_storage_Sao_Francisco
CO2Injection,BR_MS,BR_MS_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_MS,co2_storage_Parana
CO2Injection,BR_MT,BR_MT_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_MT,co2_storage_Parecis
CO2Injection,BR_PA,BR_PA_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_PA,co2_storage_Parecis
CO2Injection,BR_PB,BR_PB_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_PB,co2_storage_Potiguar
CO2Injection,BR_PE,BR_PE_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_PE,co2_storage_Sergipe_Alagoas
CO2Injection,BR_PI,BR_PI_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_PI,co2_storage_Ceara
CO2Injection,BR_PR,BR_PR_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_PR,co2_storage_Parana
CO2Injection,BR_RJ,BR_RJ_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_RJ,co2_storage_Parana
CO2Injection,BR_RN,BR_RN_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.1,40,20,2,0,co2_transported_BR_RN,co2_storage_Potiguar
