Type;id;transforms--constraints--BalanceConstraint;transforms--timedata;edges--elec_edge--commodity;edges--elec_edge--unidirectional;edges--elec_edge--has_capacity;edges--elec_edge--uc;edges--elec_edge--integer_decisions;edges--elec_edge--constraints--CapacityConstraint;edges--elec_edge--constraints--RampingLimitConstraint;edges--elec_edge--constraints--MinFlowConstraint;edges--elec_edge--constraints--MinUpTimeConstraint;edges--elec_edge--constraints--MinDownTimeConstraint;edges--fuel_edge--commodity;edges--fuel_edge--unidirectional;edges--fuel_edge--has_capacity;edges--co2_edge--commodity;edges--co2_edge--unidirectional;edges--co2_edge--has_capacity;edges--co2_edge--end_vertex;transforms--emission_rate;transforms--fuel_consumption;edges--elec_edge--end_vertex;edges--elec_edge--can_retire;edges--elec_edge--can_expand;edges--elec_edge--existing_capacity;edges--elec_edge--investment_cost;edges--elec_edge--fixed_om_cost;edges--elec_edge--variable_om_cost;edges--elec_edge--capacity_size;edges--elec_edge--startup_cost;edges--elec_edge--startup_fuel_consumption;edges--elec_edge--min_up_time;edges--elec_edge--min_down_time;edges--elec_edge--ramp_up_fraction;edges--elec_edge--ramp_down_fraction;edges--elec_edge--min_flow_fraction;edges--fuel_edge--start_vertex
ThermalPower;BR_AC_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_AC;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_AL_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_AL;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_AM_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_AM;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_AP_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_AP;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_BA_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_BA;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_CE_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_CE;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_CE_Coal_Existing;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.631578947;elec_BR_CE;TRUE;FALSE;1085;0;389253.1;7.2;1085;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_DF_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_DF;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_ES_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_ES;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_GO_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_GO;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
