Type,location,id,transforms--timedata,edges--elec_edge--unidirectional,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--has_capacity,edges--elec_edge--constraints--MustRunConstraint,edges--elec_edge--existing_capacity,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--end_vertex,edges--elec_edge--availability--timeseries--path,edges--elec_edge--availability--timeseries--header,Note
MustRun,Amazonas,Amazonas_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,22693.85,0,12820,0.1,1,elec_hydro_N,system/availability_hydro_ror.csv,Amazonas_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Doce,Doce_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1604,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Doce_hydro_ror,fixed_om_cost and variable_om_cost from 14-zone model.
MustRun,Grande,Grande_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2576.8,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Grande_hydro_ror,fixed_om_cost and variable_om_cost from 13-zone model.
MustRun,Igua?u,Igua?u_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2788.368,0,12820,0.1,1,elec_hydro_S,system/availability_hydro_ror.csv,Igua?u_hydro_ror,fixed_om_cost and variable_om_cost from 11-zone model.
MustRun,Jacui_capivari,Jacui_capivari_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1165.4,0,12820,0.1,1,elec_hydro_S,system/availability_hydro_ror.csv,Jacui_capivari_hydro_ror,fixed_om_cost and variable_om_cost from 10-zone model.
MustRun,Jequitinhonha,Jequitinhonha_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,462.011,0,12820,0.1,1,elec_hydro_NE,system/availability_hydro_ror.csv,Jequitinhonha_hydro_ror,fixed_om_cost and variable_om_cost from 9-zone model.
MustRun,Para¨ªba do Sul,Para¨ªba do Sul_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1281.787,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Para¨ªba do Sul_hydro_ror,fixed_om_cost and variable_om_cost from 15-zone model.
MustRun,Paran¨¢,Paran¨¢_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,10151.2,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Paran¨¢_hydro_ror,fixed_om_cost and variable_om_cost from 17-zone model.
MustRun,Parana¨ªba,Parana¨ªba_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1235.4,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Parana¨ªba_hydro_ror,fixed_om_cost and variable_om_cost from 16-zone model.
MustRun,Paranapanema,Paranapanema_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1221.3,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Paranapanema_hydro_ror,fixed_om_cost and variable_om_cost from 7-zone model.
MustRun,S?o Francisco,S?o Francisco_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,7441.601,0,12820,0.1,1,elec_hydro_NE,system/availability_hydro_ror.csv,S?o Francisco_hydro_ror,fixed_om_cost and variable_om_cost from 8-zone model.
MustRun,Tiet¨º,Tiet¨º_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,1510.99,0,12820,0.1,1,elec_hydro_SE,system/availability_hydro_ror.csv,Tiet¨º_hydro_ror,fixed_om_cost and variable_om_cost from 18-zone model.
MustRun,Tocantins,Tocantins_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2682.7,0,12820,0.1,1,elec_hydro_N,system/availability_hydro_ror.csv,Tocantins_hydro_ror,fixed_om_cost and variable_om_cost from 6-zone model.
MustRun,Uruguai,Uruguai_hydro_ror,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,2507.6,0,12820,0.1,1,elec_hydro_S,system/availability_hydro_ror.csv,Uruguai_hydro_ror,fixed_om_cost and variable_om_cost from 12-zone model.
