time_index,BR_AC_Solar_Class0,BR_AC_Solar_Class2,BR_AL_Solar_Class2,BR_AM_Solar_Class0,BR_AM_Solar_Class1,BR_AM_Solar_Class2,BR_AP_Solar_Class2,BR_BA_Solar_Class0,BR_BA_Solar_Class1,BR_BA_Solar_Class2,BR_CE_Solar_Class1,BR_CE_Solar_Class2,BR_ES_Solar_Class2,BR_GO_Solar_Class0,BR_GO_Solar_Class1,BR_GO_Solar_Class2,BR_MA_Solar_Class0,BR_MA_Solar_Class1,BR_MA_Solar_Class2,BR_MG_Solar_Class0,BR_MG_Solar_Class1,BR_MG_Solar_Class2,BR_MS_Solar_Class0,BR_MS_Solar_Class1,BR_MS_Solar_Class2,BR_MT_Solar_Class0,BR_MT_Solar_Class1,BR_MT_Solar_Class2,BR_NA_Solar_Class0,BR_NA_Solar_Class2,BR_PA_Solar_Class0,BR_PA_Solar_Class1,BR_PA_Solar_Class2,BR_PB_Solar_Class1,BR_PB_Solar_Class2,BR_PE_Solar_Class1,BR_PE_Solar_Class2,BR_PI_Solar_Class1,BR_PI_Solar_Class2,BR_PR_Solar_Class1,BR_PR_Solar_Class2,BR_RJ_Solar_Class2,BR_RN_Solar_Class1,BR_RN_Solar_Class2,BR_RO_Solar_Class0,BR_RO_Solar_Class1,BR_RO_Solar_Class2,BR_RR_Solar_Class0,BR_RS_Solar_Class1,BR_RS_Solar_Class3,BR_SC_Solar_Class1,BR_SC_Solar_Class2,BR_SC_Solar_Class3,BR_SE_Solar_Class2,BR_SP_Solar_Class1,BR_SP_Solar_Class2,BR_TO_Solar_Class0,BR_TO_Solar_Class1,BR_TO_Solar_Class2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.181215,0,0,0,0,0.00001,0.003245227,0.042117429,8.46667E-05,5.95652E-05,0.25232,0,0,0,0,0,0,0,3.64286E-05,2.37143E-05,0,0,0,0,0,0,0,0,0,0,0,0.014763333,0.068998889,0.000709167,0.047646364,0,0,0,0,0.17569,0.001275,0.120507273,0,0,0,0,0,0,0,0,0,0.206661667,0,0.00009375,0,0,0
7,0,0,0.366698333,0,0,0,0,0.30731,0.529729091,0.319556286,0.31181,0.197586087,0.54791,0.40277,0.36575069,0.422727368,0.245261667,0.376817826,0.294170196,0.02229,0.540281,0.534875429,0.15430125,0.1361652,0.118851724,0.220792059,0.032315833,0.058587703,0,0,0.134795714,0.040252,0.11982325,0.22375,0.275947778,0.399051667,0.209255455,0.471222444,0.387803158,0.048085769,0.119501667,0.660185,0.14318,0.387455455,0,0,0,0,0.029377778,0.021056129,0.04078,0.160854,0.03134,0.394641667,0.290877813,0.321646667,0.4215,0.380757273,0.463162083
8,0,0.120633333,0.510771667,0.04452,0.07084,0.052821429,0.265876667,0.28882,0.706854659,0.438116,0.476431333,0.404446522,0.75839,0.649291667,0.654553793,0.716302456,0.445061667,0.556611304,0.460512157,0.59954,0.751484286,0.744346571,0.337015625,0.30827,0.234174655,0.447557059,0.183285238,0.275826757,0.249575,0.011685,0.355672727,0.182222,0.31141075,0.43316,0.488445556,0.523125,0.356303636,0.675945111,0.512561579,0.039922692,0.193457222,0.83549,0.4201975,0.560144545,0.14804,0.1155225,0.03686,0.183109333,0.101922222,0.086743226,0.08339,0.281058,0.06257,0.511106667,0.488487813,0.514922917,0.600454211,0.564736364,0.661552083
9,0.31438,0.15112,0.518016667,0.27024,0.06762,0.079764286,0.330963333,0.43933,0.776541023,0.520178571,0.602753333,0.542196522,0.80961,0.718991667,0.768075517,0.814640351,0.444673333,0.612907391,0.546830588,0.70915,0.840447857,0.860103143,0.52098125,0.4350304,0.328518276,0.562356471,0.292673214,0.443039865,0.236241667,0.040875,0.484168701,0.352545,0.379539,0.536131667,0.51151,0.581116667,0.459649091,0.769739778,0.595314737,0.114053846,0.367408889,0.89449,0.5765525,0.643189091,0.315832222,0.204273333,0.107600741,0.277905333,0.195497778,0.200724032,0.15209,0.451776,0.07549,0.60361,0.583001563,0.600595,0.709037895,0.662255455,0.756249167
10,0.52828,0.43556,0.542028333,0.47097,0.30312,0.109124286,0.569823333,0.53636,0.8167975,0.602547714,0.664549333,0.629859565,0.82494,0.758776667,0.821427931,0.869224211,0.477895,0.636881739,0.584406863,0.70725,0.882046143,0.901382,0.5372375,0.4661116,0.415892069,0.626720882,0.41182369,0.498653514,0.282876667,0.06242,0.574326104,0.4178885,0.44696725,0.629918333,0.629973333,0.6567575,0.537902727,0.788084,0.636035789,0.140466154,0.332918889,0.9303,0.7119925,0.732943636,0.418151111,0.397413333,0.170947407,0.472669333,0.312917778,0.335771129,0.1301,0.468858,0.13229,0.596321667,0.608593438,0.625565417,0.763832632,0.746600909,0.8140075
