Time_Index,NE_utilitypv_class1_moderate_70_0_2_6,NE_landbasedwind_class4_moderate_70_7,Availability_One,Availability_ch,Availability_disch_N,Availability_disch_NE,Availability_disch_CW,Availability_disch_SE,Availability_disch_S,Availability_residue_N,Availability_residue_NE,Availability_residue_CW,Availability_residue_SE,Availability_residue_S,Availability_disch_corn_N,Availability_disch_corn_NE,Availability_disch_corn_CW,Availability_disch_corn_SE,Availability_disch_corn_S,Availability_residue_corn_N,Availability_residue_corn_NE,Availability_residue_corn_CW,Availability_residue_corn_SE,Availability_residue_corn_S,Availability_disch_soybean_N,Availability_disch_soybean_NE,Availability_disch_soybean_CW,Availability_disch_soybean_SE,Availability_disch_soybean_S,Availability_residue_soybean_N,Availability_residue_soybean_NE,Availability_residue_soybean_CW,Availability_residue_soybean_SE,Availability_residue_soybean_S
1,0,0.596095068,1,1,0.063,0.149,0.087,0.053,0.053,0.063,0.149,0.087,0.053,0.053,0.127270513,0.127270513,0.127270513,0.127270513,0.127270513,0.05,0.15,0.05,0.05,0.05,0.100525941,0.114885707,0.116712182,0.121474055,0.121005566,0.05,0.05,0.05,0.05,0.05
2,0,0.608124891,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
3,0,0.601659611,1,0,0.05,0.1,0.09,0.061,0.083,0.05,0.1,0.09,0.061,0.083,0.12740807,0.12740807,0.12740807,0.12740807,0.12740807,0.05,0.05,0.05,0.25,0.35,0.138711353,0.132772256,0.130846248,0.126675171,0.130927694,0.35,0.3,0.3,0.3,0.3
4,0,0.582438362,1,0,0.098,0.072,0.111,0.122,0.157,0.098,0.072,0.111,0.122,0.157,0.120211985,0.120211985,0.120211985,0.120211985,0.120211985,0.05,0.05,0.05,0.25,0.35,0.14208918,0.122277829,0.129850122,0.124600264,0.139095397,0.35,0.3,0.3,0.3,0.3
5,0,0.557826682,1,0,0.14,0.074,0.156,0.181,0.187,0.14,0.074,0.156,0.181,0.187,0.130485555,0.130485555,0.130485555,0.130485555,0.130485555,0.05,0.05,0.05,0.15,0.15,0.145609624,0.133916267,0.132206982,0.127223946,0.126225581,0.35,0.3,0.3,0.3,0.3
6,0,0.532483579,1,0,0.154,0.085,0.168,0.195,0.212,0.154,0.085,0.168,0.195,0.212,0.128565158,0.128565158,0.128565158,0.128565158,0.128565158,0.05,0.05,0.35,0.25,0.05,0.138318368,0.130463112,0.139188217,0.13030035,0.132208768,0.15,0.3,0.05,0.05,0.3
7,0.003429793,0.520139707,1,0,0.206,0.102,0.172,0.199,0.186,0.206,0.102,0.172,0.199,0.186,0.134555181,0.134555181,0.134555181,0.134555181,0.134555181,0.05,0.05,0.35,0.25,0.05,0.149178587,0.139520783,0.145080618,0.134572749,0.136687438,0.05,0.05,0.05,0.05,0.05
8,0.18769735,0.51293597,1,0,0.207,0.13,0.177,0.199,0.196,0.207,0.13,0.177,0.199,0.196,0.13624186,0.13624186,0.13624186,0.13624186,0.13624186,0.05,0.05,0.35,0.25,0.05,0.136899745,0.146102844,0.14420782,0.13788984,0.141888654,0.05,0.05,0.05,0.05,0.05
9,0.499359605,0.500228188,1,0,0.214,0.189,0.169,0.201,0.176,0.214,0.189,0.169,0.201,0.176,0.136242246,0.136242246,0.136242246,0.136242246,0.136242246,0.3,0.2,0.05,0.15,0.05,0.154332261,0.145850536,0.138775505,0.142475307,0.138288153,0.05,0.05,0.05,0.05,0.05
10,0.527880596,0.488067179,1,0,0.175,0.205,0.151,0.162,0.157,0.175,0.205,0.151,0.162,0.157,0.143933732,0.143933732,0.143933732,0.143933732,0.143933732,0.3,0.3,0.05,0.05,0.05,0.136573227,0.153444738,0.140254968,0.146944566,0.144130271,0.05,0.05,0.05,0.05,0.05
11,0.469437276,0.292643135,1,0,0.142,0.192,0.127,0.108,0.089,0.142,0.192,0.127,0.108,0.089,0.14325996,0.14325996,0.14325996,0.14325996,0.14325996,0.3,0.3,0.05,0.05,0.05,0.132170454,0.145428023,0.136312468,0.153069512,0.141019949,0.05,0.05,0.05,0.05,0.05
12,0.45233495,0.154537324,1,0,0.102,0.178,0.108,0.068,0.054,0.102,0.178,0.108,0.068,0.054,0.150695745,0.150695745,0.150695745,0.150695745,0.150695745,0.3,0.3,0.05,0.05,0.05,0.11893932,0.129846899,0.123772785,0.135011974,0.128319943,0.05,0.05,0.05,0.05,0.05
