Time_Index,Demand_Zero ,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
1,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
2,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
3,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
4,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
5,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
6,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
7,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
8,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
9,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
10,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
11,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
12,0,1000560,163680,31866032.88,3095435.64,6686140.56,4097257.56,9313407.84,15345
