Time_Index,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,Demand_Zero
1,34746.95928,12478.73748,24684.91212,11788.97544,0
2,34296.74556,13176.57132,25031.59956,11764.89864,0
3,33967.36596,12533.81052,25851.41196,11753.70372,0
4,33051.8892,12340.55988,25646.75388,11775.93516,0
5,31860.08892,11705.86692,26255.19864,11708.42904,0
6,30425.51292,11565.59844,26367.41844,10576.09872,0
7,31330.83096,11944.1982,25554.19548,8732.35308,0
8,34584.81444,10850.82636,23930.23248,7945.14072,0
9,37457.09352,11485.122,20298.32112,7733.1672,0
10,40321.93836,11737.8294,17695.89756,8183.2344,0
11,42332.85276,12637.50444,16340.1282,8539.40604,0
12,42474.02676,13848.70872,16380.43044,8639.27328,0
13,41713.3464,13916.38116,16375.21116,8599.88316,0
14,40827.30432,13577.80512,16580.34312,8433.04308,0
15,39495.1656,13646.952,18218.3232,8231.53056,0
16,38963.78244,14114.38248,20434.45536,7940.71476,0
17,39159.45,15576.54912,21473.0538,8058.17892,0
18,40346.42172,16388.4006,20503.55076,9739.47744,0
19,41180.56668,16114.2366,22868.03376,12209.28192,0
20,43286.39304,16104.84348,24974.80524,14717.0364,0
21,43599.4746,15929.18448,25077.29928,15808.59984,0
22,43864.7088,15067.90032,24851.23344,16480.8666,0
23,43064.81916,14155.68264,24862.18284,16552.91616,0
24,41702.3442,11813.96568,25379.59908,16313.94204,0
25,41808.56592,10000.353,24923.84136,14478.3672,0
26,40825.86156,10172.44272,24875.03832,11662.23432,0
27,40145.8464,9606.8676,25543.11144,9887.14188,0
28,39335.04432,9186.16512,25617.99372,9452.55168,0
29,39083.16852,9455.39364,24914.33076,9444.24492,0
30,39227.20296,9410.83836,25261.88544,8897.13924,0
31,40070.00052,10203.95244,27299.41104,7815.4626,0
32,42458.45736,11010.16224,30278.6814,7799.77704,0
33,46192.52616,11847.37092,30303.40236,8019.6732,0
34,49293.13356,13571.81892,27657.36732,8564.10324,0
35,52333.5252,14643.22332,27095.36412,8814.13896,0
36,54703.59444,15754.70028,25759.899,8822.46288,0
37,55576.59624,16070.13672,24327.04956,8697.06552,0
38,56077.99428,17056.9476,24376.85712,8991.89544,0
39,57277.02684,15782.7714,25210.74732,10476.66048,0
40,57116.84616,15020.53608,25190.84832,11722.9596,0
41,56339.09424,14849.47728,24440.62236,13496.24364,0
42,51401.27124,15814.79988,23430.24024,16299.62928,0
43,49716.53412,15516.61584,24069.31428,17854.78464,0
44,50084.09208,15211.67868,27219.25404,20225.26044,0
45,49504.83912,14974.00344,28328.92788,20873.55996,0
46,49031.33532,14933.86224,28710.1914,20604.7974,0
47,47525.52156,14983.16424,27863.27412,20004.26868,0
48,45192.17604,13633.1844,27058.91496,19865.35584,0
49,41244.73716,12527.82036,27014.62632,19740.69504,0
50,39353.93352,11185.97964,27567.98352,18208.37964,0
51,38957.74212,10470.999,28043.75376,15663.86184,0
52,38815.49628,10188.07152,27861.65712,14417.50332,0
53,38727.19224,10203.68052,27285.37284,14203.6752,0
54,39106.90872,10976.47056,26836.65996,12697.70304,0
55,41995.2984,11653.72428,27561.58812,9885.82452,0
56,44833.1334,12852.65916,30216.17544,8150.967,0
57,47754.63924,14499.23904,30982.68492,7933.00728,0
58,50866.52736,15333.91068,29355.31896,8314.3764,0
59,53297.7522,16591.39284,27685.74072,8623.43856,0
60,55482.73368,17111.6946,26145.64656,8684.44896,0
61,56678.87676,16934.08068,24861.17304,8609.172,0
62,57821.34732,16573.42632,25025.08272,9954.83016,0
63,57396.67692,18614.14236,24434.5398,11208.41172,0
64,56616.41832,19067.9412,23085.79284,12495.93972,0
65,54793.86,19776.36276,21773.95044,14162.93076,0
66,52827.6672,19053.42384,21649.97208,15229.57128,0
67,51063.00276,17390.08524,23066.78352,17083.08888,0
68,51959.85168,15883.22472,25696.44396,19378.44348,0
69,52808.36352,15404.334,26010.04428,20198.48688,0
70,52565.75544,14989.17288,26158.04664,19970.51232,0
71,51580.56684,14581.65984,25934.8518,19631.33964,0
72,49037.98284,13568.36844,25657.66368,19381.66164,0
73,45095.87148,13011.46044,24854.37768,19723.8228,0
74,43484.73228,12844.60056,23302.90248,18446.2806,0
75,42205.85028,12772.122,22500.39,17228.70072,0
76,41467.83168,12594.5226,22141.57572,16347.55716,0
77,41333.43456,12675.1152,21366.2724,15881.21964,0
78,41325.0222,12833.11656,19845.56772,15322.5072,0
79,41805.88104,12359.47152,21088.09296,13936.58904,0
80,44660.43252,11761.60128,25153.12668,10175.6952,0
81,47169.10704,12956.65536,26041.72956,7754.7822,0
82,48773.29248,14882.90892,25049.99904,8030.28204,0
83,49697.52876,15686.76912,25029.60372,8508.7266,0
84,50041.50624,16420.8,25112.16048,8321.31168,0
85,49644.57168,16713.6552,24593.5206,8323.69428,0
86,50653.39356,17057.50464,24114.55728,8258.96808,0
87,51123.57756,16575.96996,24260.73408,8448.10428,0
88,51319.69524,15899.44488,23040.53004,9292.89108,0
89,50644.39116,15341.9442,22538.17764,11252.2806,0
90,49806.2136,14946.21084,23328.77976,13910.39232,0
91,49490.95272,17107.16436,23455.68192,16440.49176,0
92,49752.13848,17539.27164,25576.84008,18451.55268,0
93,51100.72044,16998.06372,24944.6934,18733.52316,0
94,50706.63972,16486.56504,23656.22688,18516.267,0
95,48938.0892,16441.30752,23035.42428,17292.74976,0
96,47374.437,15698.65704,21944.47728,17181.39852,0
97,45476.09352,15029.29956,20566.2336,16779.97332,0
98,44535.14076,14257.37412,19043.96604,15853.42704,0
99,43549.46508,12790.01064,19021.91016,15356.21472,0
100,43142.98428,11375.55936,19246.16892,14976.99984,0
101,43270.28772,11423.30508,18447.39204,14104.10364,0
102,42923.01156,11293.19004,18638.19672,11696.40384,0
103,40937.08608,11716.2408,21356.98356,9061.11756,0
104,40550.36832,11987.57604,22899.94344,7424.32284,0
105,42763.30212,11859.64824,21438.26388,7554.85896,0
106,45303.26592,12125.45796,19297.3506,7859.60472,0
107,47102.58432,13507.692,18088.55532,8138.08116,0
108,48314.77596,14377.51656,18312.38244,8196.68256,0
109,48383.93076,14474.46792,18473.90952,8064.33804,0
110,47329.0026,13868.73972,19234.50012,8126.79252,0
111,46593.83784,13148.26656,20196.6402,8130.87396,0
112,46826.78748,11969.95536,21942.29664,8338.8294,0
113,48445.97736,13011.14496,20840.26824,9080.6364,0
114,48434.28348,15549.28452,20303.9298,11252.68056,0
115,47895.46608,16512.53604,21075.25464,15679.73352,0
116,49287.86412,15967.9278,22747.30788,18115.35396,0
117,50381.7996,15825.348,22338.82596,19497.3372,0
118,50320.2612,15970.10976,21485.52516,19454.20092,0
119,50084.98176,16131.19464,20520.84936,18925.03008,0
120,49443.23076,16026.30348,19691.7468,16806.58716,0
121,47282.21388,15994.40172,18451.19892,15692.50452,0
122,46133.93796,16169.58552,17019.61932,14450.42544,0
123,45170.73528,15888.0018,16681.85244,13350.48528,0
124,44530.95372,16538.30772,16473.24228,11802.51996,0
125,44398.13532,16602.0756,16278.84324,11684.33772,0
126,44588.33016,16317.45588,16266.14616,11879.69112,0
127,46566.2538,16940.41536,17661.07992,10984.20708,0
128,51424.02144,15930.82788,22527.08964,9176.14368,0
129,54499.58976,16972.83588,25868.22216,8250.28116,0
130,57146.1924,17472.02952,26625.80976,8089.818,0
131,60096.97188,18010.05888,26953.33608,8339.4036,0
132,60799.36632,18858.18528,26960.59872,8391.91584,0
133,59744.07516,18961.20468,26153.9784,8484.31452,0
134,60153.81108,20981.62308,25102.16148,9604.37148,0
135,59763.66396,21675.05868,24477.15468,11920.92132,0
136,57861.83436,23418.75888,22784.27976,13804.46364,0
137,58957.06608,21780.57156,20953.82256,15713.05164,0
138,58003.58256,19587.56052,19508.0688,15861.681,0
139,55074.69792,19808.04144,19676.71596,17646.10188,0
140,56861.61228,19818.45096,19742.10348,20752.97796,0
141,58162.31124,19940.82816,19387.93032,21680.01,0
142,58659.97368,20028.57648,17647.80204,22486.84416,0
143,57284.00172,19738.63056,16334.61324,22151.33976,0
144,55661.04456,19533.48144,14868.30708,19907.95224,0
145,52511.91396,19283.71764,13636.82364,18610.29324,0
146,50435.08404,18347.38752,13010.0784,17645.57784,0
147,49335.5742,16475.08764,11907.10488,17831.583,0
148,49296.786,15500.23728,11341.96932,17695.24944,0
149,48884.27808,15259.30824,11904.17976,17163.68676,0
150,48612.63792,15354.26508,12790.92408,16213.29072,0
151,50183.9844,15563.70156,14389.13388,15370.14732,0
152,52666.80144,16770.23304,18056.85816,15293.17812,0
153,56374.60884,17381.70456,21285.02772,14399.09724,0
154,59135.79804,16855.91292,22916.388,14204.15832,0
155,60734.25204,17574.63708,23300.9898,13904.03916,0
156,61226.06952,18272.40624,23372.09952,13507.6392,0
157,59601.67356,18223.32468,23507.96448,13462.6206,0
158,60260.27964,18956.42892,23544.02292,14955.4086,0
159,59801.8542,21418.52196,23023.05852,15116.8512,0
160,59055.01404,22196.72532,23027.08716,14671.13208,0
161,59499.37884,21784.8048,21540.48072,15683.0652,0
162,56963.12292,19017.24528,21228.04332,16680.40836,0
163,54354.02808,17789.85516,21752.58096,17949.00096,0
164,55191.49284,17701.94712,21838.2252,21594.80664,0
165,57720.50856,18305.23332,20210.45664,22077.22572,0
166,58202.2452,19163.78904,19065.5586,21941.9112,0
167,56956.55592,19954.60236,17394.13368,21163.71444,0
168,54920.03088,19874.73312,14873.3508,20572.99332,0
169,53239.59696,18863.14452,13381.698,19099.5024,0
170,52424.8428,17311.2522,12231.28764,18186.20496,0
171,51126.70992,15438.26724,12432.89652,17342.87808,0
172,49543.95732,15364.07664,12467.8752,17135.0454,0
173,49222.44756,15889.65048,12024.99144,16746.28956,0
174,49508.21436,16531.0992,11831.68272,16286.72628,0
175,51438.11904,17823.00168,12659.22768,15260.96352,0
176,53295.14652,18882.57756,16169.00604,15462.75192,0
177,55404.13956,20154.40812,18289.81176,16189.78284,0
178,58056.11856,19757.66232,19828.83276,15583.4184,0
179,59411.58828,20365.48536,20529.91248,16237.49556,0
180,60247.98252,20323.43544,21521.97828,16170.99,0
181,60357.50028,19662.39792,21497.92788,15529.74984,0
182,61648.44048,20986.27872,20882.44884,16879.566,0
183,63629.10312,20857.47444,20502.8604,17551.40508,0
184,63946.34268,20252.45376,19808.60244,17995.44912,0
185,63617.42376,20542.12116,18068.86752,17994.20436,0
186,60224.7492,19110.47028,17458.0956,18392.352,0
187,58383.47724,17552.54952,18267.40608,20700.6426,0
188,58614.85872,18073.9284,19351.46928,22905.24456,0
189,58905.09768,18946.80612,18828.7638,23060.20068,0
190,59886.18636,18997.00044,17519.00964,23158.31496,0
191,59434.07976,18992.73684,15039.62856,22864.644,0
192,56053.39212,19024.39968,13467.9204,22375.74636,0
193,52571.30472,18885.53436,12245.04072,20155.60008,0
194,50512.40964,18393.58224,11819.69316,18424.42272,0
195,48719.21208,17526.54816,12068.6148,17131.5078,0
196,47361.42312,16791.24084,12791.55504,16573.74444,0
197,46450.66536,16177.84212,13826.54988,16693.59384,0
198,46357.7598,15672.60156,14194.9698,17360.76276,0
199,48196.56072,16132.95288,14803.09908,17579.70852,0
200,50737.48284,16207.2108,18819.34824,17983.15596,0
201,53494.22496,17590.7622,21092.82912,17917.50312,0
202,55973.3724,18009.64704,21995.90184,17573.87544,0
203,59268.7854,18356.98788,23011.04388,15551.65788,0
204,59892.19764,17740.61784,24938.36268,14557.30584,0
205,60121.88028,16323.15432,25196.70384,13561.83972,0
206,60431.88228,19151.32296,23861.21628,14926.74744,0
207,60132.17628,20509.29144,23530.94436,17322.31908,0
208,59012.11272,19830.40356,23628.34848,18394.08648,0
209,59472.6792,19265.71944,22014.09144,18172.90068,0
210,58011.0894,17128.2144,20916.76752,18212.36736,0
211,56763.15612,16610.8008,19520.89392,20596.73616,0
212,58747.97412,18241.7466,18774.49332,22158.45588,0
213,59565.75768,18144.22896,17980.24536,23470.18476,0
214,59630.274,18843.55704,16796.901,23425.8486,0
215,57673.52844,19039.93608,15498.1464,23075.13252,0
216,56330.10768,18505.9182,13813.81584,21397.11024,0
217,53203.3128,18574.23612,12086.97204,19753.8594,0
218,51135.00084,16836.35316,11059.6464,18694.77984,0
219,49446.78288,15648.86004,10277.28768,18666.549,0
220,48409.80276,15840.40524,9676.04616,18570.70776,0
221,48216.62868,16063.99476,9391.84884,18493.89564,0
222,48218.53476,16189.404,9511.06068,18337.11528,0
223,50023.76412,15987.57864,11578.8552,17796.94092,0
224,53319.01212,16763.51424,15056.73048,17759.88456,0
225,56431.2804,17492.53308,18570.33024,17060.9076,0
226,57183.819,18315.43428,21617.9436,15027.6588,0
227,57543.33288,20029.17048,24179.02212,14656.97376,0
228,58465.74492,20615.24916,24688.51308,14340.31368,0
229,57482.92968,19991.91084,24877.65852,13978.48584,0
230,58710.45048,20539.3584,24983.52516,14347.83504,0
231,59435.63472,21031.42008,24319.85028,14921.48856,0
232,58678.91304,20296.72524,23864.9334,16778.87112,0
233,58921.00764,17688.04752,22273.86348,18162.33804,0
234,56508.243,16310.60904,20439.29976,19739.67336,0
235,53862.59076,16491.11508,19826.1096,22331.892,0
236,56625.87348,17732.4246,18355.39068,24478.212,0
237,56716.82544,18485.7948,16851.5226,25706.71224,0
238,56949.2154,18431.36724,15679.23984,25649.80704,0
239,56321.52504,18108.34344,14816.42052,24075.11568,0
240,54911.95116,17391.66,13558.1226,22817.17944,0
241,52611.11196,16691.13996,13034.79144,20786.80164,0
242,50862.94884,13721.31552,12978.49608,20504.82456,0
243,49170.48972,12151.04616,12245.22684,20472.62448,0
244,47894.68992,12693.36552,11846.74524,19496.47128,0
245,47518.63908,13097.99832,11184.47748,19033.05096,0
246,47632.53132,12641.76804,11231.5236,18178.20048,0
247,49116.4542,12031.52808,12944.51796,16650.41796,0
248,52162.18128,12531.54012,15569.88708,13627.11504,0
249,53437.99296,13287.55428,19245.0258,11423.62716,0
250,56356.61988,11874.72924,22329.88692,10402.36164,0
251,56212.72404,12222.91092,24498.14004,10241.03256,0
252,56137.77312,13916.68872,24578.36304,10374.02388,0
253,55743.798,14660.316,24156.9108,10487.7894,0
254,56553.43584,14096.18364,23500.18044,10715.87088,0
255,57650.11692,12997.04208,22155.12684,10896.06012,0
256,57571.12548,12572.73732,21494.2662,11032.593,0
257,56974.37592,13806.97824,19826.29044,12379.6662,0
258,55662.68004,14644.70964,17282.2716,15430.49508,0
259,56652.90576,15244.81068,16718.14188,18079.57404,0
260,59479.47456,15952.46532,15844.22004,20503.74216,0
261,59641.88472,15637.182,15109.06848,21175.7436,0
262,58152.68448,15037.42152,15083.442,20324.50332,0
263,56406.46572,15235.94952,14750.68584,18803.47128,0
264,54672.22068,14629.1574,13664.63472,18644.19876,0
265,51630.98952,14336.7642,12060.84528,18166.5924,0
266,49590.90708,13693.0596,10710.91428,18148.67076,0
267,47478.02136,13470.04824,10242.03972,18138.87504,0
268,45980.92752,11761.5168,11459.17212,18019.38468,0
269,45143.93664,11320.88628,11388.91908,18103.75644,0
270,45100.50732,10788.0366,11488.79028,16534.25136,0
271,45526.11492,10439.14476,12653.09232,14052.08508,0
272,47518.98756,8805.1854,15258.8238,12204.18144,0
273,47513.0898,8755.79364,18815.84364,10407.35916,0
274,46383.33876,10956.98604,18830.37156,9609.09972,0
275,47108.86884,11924.98164,18540.83748,9674.15988,0
276,48360.93372,12476.44728,18975.49368,9704.55552,0
277,48566.133,12447.56172,19332.15372,9666.096,0
278,48768.96684,12130.53732,19267.6374,9830.238,0
279,49892.83992,10772.16228,18342.34248,11086.28532,0
280,51008.1726,10625.48124,16806.08952,10985.66172,0
281,53136.38352,10358.18388,14133.95412,12353.55264,0
282,52677.56868,11357.33808,13846.53468,15507.1884,0
283,52088.3154,13639.56132,15242.68284,17182.80168,0
284,54482.439,15141.60252,15749.12856,17916.822,0
285,55494.69948,16135.93476,14469.97728,18866.09736,0
286,55461.7008,16454.4006,13069.21044,18979.488,0
287,54528.66408,15985.22244,12438.56988,18898.15092,0
288,51448.91136,15890.787,12400.51956,18193.86096,0
289,49510.24056,12929.79336,11817.78444,19298.57424,0
290,47448.9708,8388.47724,12149.66676,22020.46704,0
291,46817.30724,5506.76544,12660.714,23042.27772,0
292,45166.54824,6769.917,12296.29764,22282.90812,0
293,45311.92248,6863.56836,11900.48904,22241.7096,0
294,45147.8808,7615.54596,12313.53288,22439.80992,0
295,46488.03984,9041.9076,13814.81904,21782.6004,0
296,50326.65924,11130.3588,16017.7116,21614.68848,0
297,54464.5464,12997.49616,19334.60892,18983.67768,0
298,57465.7314,15121.90812,19476.40464,16641.5106,0
299,59156.14056,17611.39776,19184.03256,16837.45008,0
300,59868.5802,17330.90568,20292.50652,16448.8302,0
301,58704.82068,17974.24332,19570.69224,16766.54628,0
302,60357.20196,19202.24196,19894.75224,17933.03688,0
303,61150.17744,19101.55896,19290.41268,19703.7786,0
304,61009.25424,18351.14556,16504.8774,23095.00776,0
305,58971.83688,20284.92708,13655.9016,24957.78384,0
306,55696.59876,19366.0566,12224.00124,25870.76712,0
307,55452.08064,18449.93172,12414.84816,25775.9766,0
308,59332.06356,19556.46924,12455.76024,25755.40044,0
309,61026.10932,19697.36868,12470.33832,25632.51108,0
310,60325.01904,19860.46524,12376.90344,25630.66968,0
311,57707.51844,19572.54024,11319.825,25599.04644,0
312,54173.75832,17664.25848,10831.77348,25626.7836,0
313,52426.5654,14781.98964,10133.6664,24338.59824,0
314,51103.5888,12993.06888,9456.33744,23424.88236,0
315,50537.60712,10528.35828,9194.51544,23380.65576,0
316,49355.93916,9596.53464,9272.04828,22752.14832,0
317,49878.09948,9497.71944,8451.20232,22963.08168,0
318,49928.53668,11151.14484,8129.50116,22241.87592,0
319,52107.6666,12617.81004,9845.09064,20372.08272,0
