Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation,BR_N_cornstover_trans,Biomass,TRUE,1,0,0,0,0,0,Corn,TRUE,TRUE,corn_stover_processed_N,0,0,0,Residue,residue_N,Electricity,elec_N,Electricity,elec_N,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_N
BiomassTransformation,BR_NE_cornstover_trans,Biomass,TRUE,1,0,0,0,0,0,Corn,TRUE,TRUE,corn_stover_processed_NE,0,0,0,Residue,residue_NE,Electricity,elec_NE,Electricity,elec_NE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_NE
BiomassTransformation,BR_SE_cornstover_trans,Biomass,TRUE,1,0,0,0,0,0,Corn,TRUE,TRUE,corn_stover_processed_SE,0,0,0,Residue,residue_SE,Electricity,elec_SE,Electricity,elec_SE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_SE
BiomassTransformation,BR_S_cornstover_trans,Biomass,TRUE,1,0,0,0,0,0,Corn,TRUE,TRUE,corn_stover_processed_S,0,0,0,Residue,residue_S,Electricity,elec_S,Electricity,elec_S,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_S
BiomassTransformation,BR_N_ricestraw_trans,Biomass,TRUE,1,0,0,0,0,0,RiceStraw,TRUE,TRUE,ricestraw_N,0,0,0,Residue,residue_N,Electricity,elec_N,Electricity,elec_N,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_N
BiomassTransformation,BR_NE_ricestraw_trans,Biomass,TRUE,1,0,0,0,0,0,RiceStraw,TRUE,TRUE,ricestraw_NE,0,0,0,Residue,residue_NE,Electricity,elec_NE,Electricity,elec_NE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_NE
BiomassTransformation,BR_SE_ricestraw_trans,Biomass,TRUE,1,0,0,0,0,0,RiceStraw,TRUE,TRUE,ricestraw_SE,0,0,0,Residue,residue_SE,Electricity,elec_SE,Electricity,elec_SE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_SE
BiomassTransformation,BR_S_ricestraw_trans,Biomass,TRUE,1,0,0,0,0,0,RiceStraw,TRUE,TRUE,ricestraw_S,0,0,0,Residue,residue_S,Electricity,elec_S,Electricity,elec_S,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_S
BiomassTransformation,BR_N_soybeanresidue_trans,Biomass,TRUE,1,0,0,0,0,0,Soybean,TRUE,TRUE,soybean_residue_processed_N,0,0,0,Residue,residue_N,Electricity,elec_N,Electricity,elec_N,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_N
BiomassTransformation,BR_NE_soybeanresidue_trans,Biomass,TRUE,1,0,0,0,0,0,Soybean,TRUE,TRUE,soybean_residue_processed_NE,0,0,0,Residue,residue_NE,Electricity,elec_NE,Electricity,elec_NE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_NE
BiomassTransformation,BR_SE_soybeanresidue_trans,Biomass,TRUE,1,0,0,0,0,0,Soybean,TRUE,TRUE,soybean_residue_processed_SE,0,0,0,Residue,residue_SE,Electricity,elec_SE,Electricity,elec_SE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_SE
BiomassTransformation,BR_S_soybeanresidue_trans,Biomass,TRUE,1,0,0,0,0,0,Soybean,TRUE,TRUE,soybean_residue_processed_S,0,0,0,Residue,residue_S,Electricity,elec_S,Electricity,elec_S,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_S
BiomassTransformation,BR_N_sugarcanestraw_trans,Biomass,TRUE,1,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_straw_processed_N,0,0,0,Residue,residue_N,Electricity,elec_N,Electricity,elec_N,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_N
BiomassTransformation,BR_NE_sugarcanestraw_trans,Biomass,TRUE,1,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_straw_processed_NE,0,0,0,Residue,residue_NE,Electricity,elec_NE,Electricity,elec_NE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_NE
BiomassTransformation,BR_SE_sugarcanestraw_trans,Biomass,TRUE,1,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_straw_processed_SE,0,0,0,Residue,residue_SE,Electricity,elec_SE,Electricity,elec_SE,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_SE
BiomassTransformation,BR_S_sugarcanestraw_trans,Biomass,TRUE,1,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_straw_processed_S,0,0,0,Residue,residue_S,Electricity,elec_S,Electricity,elec_S,CO2,co2_sink,CO2,co2_sink,CO2Captured,co2_captured_S
