Time_Index,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,Demand_Zero
1,28955.7994,10398.9479,20570.7601,9824.1462,0
2,28580.6213,10980.4761,20859.6663,9804.0822,0
3,28306.1383,10444.8421,21542.8433,9794.7531,0
4,27543.241,10283.7999,21372.2949,9813.2793,0
5,26550.0741,9754.8891,21879.3322,9757.0242,0
6,25354.5941,9637.9987,21972.8487,8813.4156,0
7,26109.0258,9953.4985,21295.1629,7276.9609,0
8,28820.6787,9042.3553,19941.8604,6620.9506,0
9,31214.2446,9570.935,16915.2676,6444.306,0
10,33601.6153,9781.5245,14746.5813,6819.362,0
11,35277.3773,10531.2537,13616.7735,7116.1717,0
12,35395.0223,11540.5906,13650.3587,7199.3944,0
13,34761.122,11596.9843,13646.0093,7166.5693,0
14,34022.7536,11314.8376,13816.9526,7027.5359,0
15,32912.638,11372.46,15181.936,6859.6088,0
16,32469.8187,11761.9854,17028.7128,6617.2623,0
17,32632.875,12980.4576,17894.2115,6715.1491,0
18,33622.0181,13657.0005,17086.2923,8116.2312,0
19,34317.1389,13428.5305,19056.6948,10174.4016,0
20,36071.9942,13420.7029,20812.3377,12264.197,0
21,36332.8955,13274.3204,20897.7494,13173.8332,0
22,36553.924,12556.5836,20709.3612,13734.0555,0
23,35887.3493,11796.4022,20718.4857,13794.0968,0
24,34751.9535,9844.9714,21149.6659,13594.9517,0
25,34840.4716,8333.6275,20769.8678,12065.306,0
26,34021.5513,8477.0356,20729.1986,9718.5286,0
27,33454.872,8005.723,21285.9262,8239.2849,0
28,32779.2036,7655.1376,21348.3281,7877.1264,0
29,32569.3071,7879.4947,20761.9423,7870.2041,0
30,32689.3358,7842.3653,21051.5712,7414.2827,0
31,33391.6671,8503.2937,22749.5092,6512.8855,0
32,35382.0478,9175.1352,25232.2345,6499.8142,0
33,38493.7718,9872.8091,25252.8353,6683.061,0
34,41077.6113,11309.8491,23047.8061,7136.7527,0
35,43611.271,12202.6861,22579.4701,7345.1158,0
36,45586.3287,13128.9169,21466.5825,7352.0524,0
37,46313.8302,13391.7806,20272.5413,7247.5546,0
38,46731.6619,14214.123,20314.0476,7493.2462,0
39,47730.8557,13152.3095,21008.9561,8730.5504,0
40,47597.3718,12517.1134,20992.3736,9769.133,0
41,46949.2452,12374.5644,20367.1853,11246.8697,0
42,42834.3927,13178.9999,19525.2002,13583.0244,0
43,41430.4451,12930.5132,20057.7619,14878.9872,0
44,41736.7434,12676.3989,22682.7117,16854.3837,0
45,41254.0326,12478.3362,23607.4399,17394.6333,0
46,40859.4461,12444.8852,23925.1595,17170.6645,0
47,39604.6013,12485.9702,23219.3951,16670.2239,0
48,37660.1467,11360.987,22549.0958,16554.4632,0
49,34370.6143,10439.8503,22512.1886,16450.5792,0
50,32794.9446,9321.6497,22973.3196,15173.6497,0
51,32464.7851,8725.8325,23369.7948,13053.2182,0
52,32346.2469,8490.0596,23218.0476,12014.5861,0
53,32272.6602,8503.0671,22737.8107,11836.396,0
54,32589.0906,9147.0588,22363.8833,10581.4192,0
55,34996.082,9711.4369,22967.9901,8238.1871,0
56,37360.9445,10710.5493,25180.1462,6792.4725,0
57,39795.5327,12082.6992,25818.9041,6610.8394,0
58,42388.7728,12778.2589,24462.7658,6928.647,0
59,44414.7935,13826.1607,23071.4506,7186.1988,0
60,46235.6114,14259.7455,21788.0388,7237.0408,0
61,47232.3973,14111.7339,20717.6442,7174.31,0
62,48184.4561,13811.1886,20854.2356,8295.6918,0
63,47830.5641,15511.7853,20362.1165,9340.3431,0
64,47180.3486,15889.951,19238.1607,10413.2831,0
65,45661.55,16480.3023,18144.9587,11802.4423,0
66,44023.056,15877.8532,18041.6434,12691.3094,0
67,42552.5023,14491.7377,19222.3196,14235.9074,0
68,43299.8764,13236.0206,21413.7033,16148.7029,0
69,44006.9696,12836.945,21675.0369,16832.0724,0
70,43804.7962,12490.9774,21798.3722,16642.0936,0
71,42983.8057,12151.3832,21612.3765,16359.4497,0
72,40864.9857,11306.9737,21381.3864,16151.3847,0
73,37579.8929,10842.8837,20711.9814,16436.519,0
74,36237.2769,10703.8338,19419.0854,15371.9005,0
75,35171.5419,10643.435,18750.325,14357.2506,0
76,34556.5264,10495.4355,18451.3131,13622.9643,0
77,34444.5288,10562.596,17805.227,13234.3497,0
78,34437.5185,10694.2638,16537.9731,12768.756,0
79,34838.2342,10299.5596,17573.4108,11613.8242,0
