Time_Index,Demand_Zero ,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
1,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
2,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
3,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
4,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
5,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
6,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
7,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
8,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
9,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
10,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
11,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
12,0,833800,136400,26555027.4,2579529.7,5571783.8,3414381.3,7761173.2,12787.5
